#   rho      torflux        n_e        fprim         Ti        Ti_prim      Te       Te_prim      Ti/Te       Te/Ti
 0.10000	 0.01000	 5.00224	-0.25368	 1.63744	-0.35774	 4.10506	-1.12368	 0.39888	 2.50700
 0.20000	 0.04000	 4.87612	-0.24693	 1.55655	-0.65545	 3.56231	-1.69451	 0.43695	 2.28859
 0.30000	 0.09000	 4.76405	-0.22024	 1.43541	-0.97055	 2.92952	-2.21606	 0.48998	 2.04089
 0.40000	 0.16000	 4.66052	-0.22821	 1.27980	-1.33596	 2.28516	-2.75993	 0.56005	 1.78557
 0.50000	 0.25000	 4.54102	-0.30505	 1.09537	-1.79759	 1.68273	-3.37709	 0.65095	 1.53622
 0.60000	 0.36000	 4.37075	-0.47746	 0.88796	-2.44282	 1.15786	-4.12854	 0.76690	 1.30395
 0.70000	 0.49000	 4.11017	-0.77652	 0.66355	-3.47983	 0.73140	-5.10706	 0.90724	 1.10225
 0.80000	 0.64000	 3.71951	-1.25897	 0.42815	-5.58011	 0.41178	-6.46074	 1.03977	 0.96176
 0.90000	 0.81000	 3.16231	-2.05939	 0.18767	-12.92339	 0.19733	-8.33322	 0.95105	 1.05147
 1.00000	 1.00000	 2.40803	-3.57615	 0.01010	-33.18342	 0.07875	-9.54859	 0.12826	 7.79664
