#   rho      torflux        n_e        fprim         Ti        Ti_prim      Te       Te_prim      Ti/Te       Te/Ti
 0.10000	 0.01000	 6.85401	-0.47002	 1.48246	-0.37864	 2.79212	-1.34790	 0.53094	 1.88343
 0.20000	 0.04000	 6.53883	-0.45628	 1.39917	-0.77599	 2.36855	-1.91328	 0.59073	 1.69283
 0.30000	 0.09000	 6.26595	-0.39350	 1.27030	-1.15268	 1.91118	-2.36678	 0.66467	 1.50452
 0.40000	 0.16000	 6.04305	-0.33476	 1.11147	-1.52083	 1.47748	-2.77694	 0.75227	 1.32931
 0.50000	 0.25000	 5.85247	-0.31534	 0.93561	-1.93970	 1.09703	-3.17888	 0.85286	 1.17253
 0.60000	 0.36000	 5.66026	-0.36721	 0.75018	-2.51618	 0.78175	-3.60493	 0.95963	 1.04207
 0.70000	 0.49000	 5.41851	-0.52782	 0.55929	-3.43855	 0.53223	-4.10145	 1.05085	 0.95161
 0.80000	 0.64000	 5.06472	-0.85883	 0.36745	-5.17533	 0.34243	-4.75667	 1.07305	 0.93192
 0.90000	 0.81000	 4.51760	-1.49936	 0.18188	-9.84964	 0.20311	-5.78302	 0.89544	 1.11677
 1.00000	 1.00000	 3.66637	-2.86910	 0.02033	-30.46596	 0.10417	-7.87514	 0.19513	 5.12481
